city_ascii,county_name,county_fips,state_id,metfips,metarea
Harmony,Iredell,37097,NC,16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"
Portland,Traill,38097,ND,NA,NA
Greenwood,Cass,31025,NE,36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"
Scio,Allegany,36003,NY,NA,NA
Clinton,Allegheny,42003,PA,38300,"Pittsburgh, PA (Metropolitan Statistical Area)"
Cranesville,Erie,42049,PA,21500,"Erie, PA (Metropolitan Statistical Area)"
Seven Mile Ford,Smyth,51173,VA,NA,NA
Blandinsville,McDonough,17109,IL,NA,NA
Dieterich,Effingham,17049,IL,NA,NA
Kewanna,Fulton,18049,IN,NA,NA
Oaktown,Knox,18083,IN,NA,NA
Kanawha,Hancock,19081,IA,NA,NA
North Chevy Chase,Montgomery,24031,MD,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)"
Velma,Stephens,40137,OK,NA,NA
Kinsman Center,Trumbull,39155,OH,49660,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"
Austinburg,Ashtabula,39007,OH,NA,NA
Matthews,New Madrid,29143,MO,NA,NA
Peck,Sanilac,26151,MI,NA,NA
Shepherd,Yellowstone,30111,MT,13740,"Billings, MT (Metropolitan Statistical Area)"
Eureka,Winnebago,55139,WI,36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)"
Grant Town,Marion,54049,WV,NA,NA
Hartford City,Mason,54053,WV,NA,NA
Plantersville,Grimes,48185,TX,NA,NA
Fox River,Kenai Peninsula,02122,AK,NA,NA
Croghan,Lewis,36049,NY,NA,NA
Unionville,Orange,36071,NY,39100,"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)"
Hooversville,Somerset,42111,PA,NA,NA
San Jose,Logan,17107,IL,NA,NA
Sherrard,Mercer,17131,IL,19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)"
Danielsville,Madison,13195,GA,12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)"
Coalville,Webster,19187,IA,NA,NA
Hornersville,Dunklin,29069,MO,NA,NA
Vienna,Maries,29125,MO,NA,NA
Trail,Jackson,41029,OR,32780,"Medford, OR (Metropolitan Statistical Area)"
Rolette,Rolette,38079,ND,NA,NA
Dodge,Dodge,31053,NE,NA,NA
Cassadaga,Chautauqua,36013,NY,NA,NA
Cairnbrook,Somerset,42111,PA,NA,NA
Grand Mound,Clinton,19045,IA,NA,NA
Goldfield,Wright,19197,IA,NA,NA
Webbers Falls,Muskogee,40101,OK,NA,NA
Racine,Mower,27099,MN,NA,NA
Briarcliffe Acres,Horry,45051,SC,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)"
Campobello,Spartanburg,45083,SC,43900,"Spartanburg, SC (Metropolitan Statistical Area)"
Bucoda,Thurston,53067,WA,36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)"
Solon Springs,Douglas,55031,WI,20260,"Duluth, MN-WI (Metropolitan Statistical Area)"
Stagecoach,Montgomery,48339,TX,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)"
Bunnlevel,Harnett,37085,NC,22180,"Fayetteville, NC (Metropolitan Statistical Area)"
Lawndale,Cleveland,37045,NC,NA,NA
Minto,Walsh,38099,ND,NA,NA
North Creek,Warren,36113,NY,24020,"Glens Falls, NY (Metropolitan Statistical Area)"
Clark,Mercer,42085,PA,49660,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)"
Swink,Otero,08089,CO,NA,NA
Lucas,Richland,39139,OH,31900,"Mansfield, OH (Metropolitan Statistical Area)"
Orderville,Kane,49025,UT,NA,NA
Littlefork,Koochiching,27071,MN,NA,NA
Wibaux,Wibaux,30109,MT,NA,NA
Bancroft,Putnam,54079,WV,26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)"
Placitas,Doña Ana,35013,NM,29740,"Las Cruces, NM (Metropolitan Statistical Area)"
Encinal,La Salle,48283,TX,NA,NA
Colmesneil,Tyler,48457,TX,NA,NA
Ossipee,Alamance,37001,NC,15500,"Burlington, NC (Metropolitan Statistical Area)"
Hawk Run,Clearfield,42033,PA,NA,NA
Hollis Crossroads,Cleburne,01029,AL,NA,NA
Oak Grove,Rock Island,17161,IL,19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)"
Nelson,Pima,04019,AZ,46060,"Tucson, AZ (Metropolitan Statistical Area)"
Mayersville,Issaquena,28055,MS,NA,NA
Verdunville,Logan,54045,WV,NA,NA
Napoleonville,Assumption,22007,LA,12940,"Baton Rouge, LA (Metropolitan Statistical Area)"
Caroga Lake,Fulton,36035,NY,NA,NA
Rauchtown,Clinton,42035,PA,NA,NA
Dustin Acres,Kern,06029,CA,12540,"Bakersfield, CA (Metropolitan Statistical Area)"
Summit,Marion,05089,AR,NA,NA
Pierce,Clearwater,16035,ID,NA,NA
Holiday Lakes,Huron,39077,OH,NA,NA
Presque Isle Harbor,Presque Isle,26141,MI,NA,NA
Magnolia,Larue,21123,KY,21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)"
Avon,Bon Homme,46009,SD,NA,NA
Justice,Mingo,54059,WV,NA,NA
Spring Lake,Hernando,12053,FL,45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)"
Golinda,Falls,48145,TX,47380,"Waco, TX (Metropolitan Statistical Area)"
Ansonville,Anson,37007,NC,16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)"
Worthington,Armstrong,42005,PA,38300,"Pittsburgh, PA (Metropolitan Statistical Area)"
Mathews,Mathews,51115,VA,47260,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)"
Hurtsboro,Russell,01113,AL,17980,"Columbus, GA-AL (Metropolitan Statistical Area)"
South Shaftsbury,Bennington,50003,VT,NA,NA
Etna Green,Kosciusko,18085,IN,NA,NA
San Jose,Graham,04009,AZ,NA,NA
Canton,Blaine,40011,OK,NA,NA
Green City,Sullivan,29211,MO,NA,NA
Butterfield,Watonwan,27165,MN,NA,NA
Sunfield,Eaton,26045,MI,29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)"
K-Bar Ranch,Jim Wells,48249,TX,NA,NA
Littleton,Halifax,37083,NC,NA,NA
Onyx,Kern,06029,CA,12540,"Bakersfield, CA (Metropolitan Statistical Area)"
Forkland,Greene,01063,AL,46220,"Tuscaloosa, AL (Metropolitan Statistical Area)"
Courtland,Lawrence,01079,AL,19460,"Decatur, AL (Metropolitan Statistical Area)"
Tower Hill,Shelby,17173,IL,NA,NA
Kellogg,Jasper,19099,IA,19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)"
Arcadia,Hancock,39063,OH,NA,NA
Innsbrook,Warren,29219,MO,41180,"St. Louis, MO-IL (Metropolitan Statistical Area)"
Standing Pine,Leake,28079,MS,NA,NA
Boyle,Bolivar,28011,MS,NA,NA
Bradley Junction,Polk,12105,FL,29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)"
Barnegat Light,Ocean,34029,NJ,35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)"
Post Oak Bend City,Kaufman,48257,TX,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)"
Wainwright,North Slope,02185,AK,NA,NA
Blanchard,Centre,42027,PA,44300,"State College, PA (Metropolitan Statistical Area)"
Shartlesville,Berks,42011,PA,39740,"Reading, PA (Metropolitan Statistical Area)"
Port Matilda,Centre,42027,PA,44300,"State College, PA (Metropolitan Statistical Area)"
Fort Garland,Costilla,08023,CO,NA,NA
